# tildes-es.tsv — mapa de restauración de tildes (generado, NO editar a mano)
# Generador: scripts/gen-tildes.ts  |  Regla: entra solo si la forma sin
# tilde NO es palabra española válida y la restauración es única.
# Fuente: RLA-ES via LibreOffice/dictionaries (MPL 1.1)
# es_ES.dic sha256=6975dddec3d5d2c676069537bc67b4b5f786c65c5d4cf6703a82acf779ac9ec1
# es_ES.aff sha256=e73a9bf8e1383f4986a5dc9e2fbed49371c0c61f511c626d15586bd433c1cad9
# pares=157895
abaca	abacá
abobandose	abobándose
abobaramos	abobáramos
abobaria	abobaría
abobariais	abobaríais
abobariamos	abobaríamos
abobarian	abobarían
abobarias	abobarías
abobasemos	abobásemos
abobeis	abobéis
abocabamos	abocábamos
abocais	abocáis
abocanabamos	abocanábamos
abocanais	abocanáis
abocanandose	abocanándose
abocanaramos	abocanáramos
abocanaria	abocanaría
abocanariais	abocanaríais
abocanariamos	abocanaríamos
abocanarian	abocanarían
abocanarias	abocanarías
abocanasemos	abocanásemos
abocandola	abocándola
abocandolas	abocándolas
abocandole	abocándole
abocandoles	abocándoles
abocandolo	abocándolo
abocandolos	abocándolos
abocandome	abocándome
abocandonos	abocándonos
abocandoos	abocándoos
abocandose	abocándose
abocandote	abocándote
abocaneis	abocanéis
abocaramos	abocáramos
abocardabamos	abocardábamos
abocardais	abocardáis
abocardandose	abocardándose
abocardaramos	abocardáramos
abocardaria	abocardaría
abocardariais	abocardaríais
abocardariamos	abocardaríamos
abocardarian	abocardarían
abocardarias	abocardarías
abocardasemos	abocardásemos
abocardeis	abocardéis
abocaria	abocaría
abocariais	abocaríais
abocariamos	abocaríamos
abocarian	abocarían
abocarias	abocarías
abocasemos	abocásemos
abocetabamos	abocetábamos
abocetais	abocetáis
abocetandose	abocetándose
abocetaramos	abocetáramos
abocetaria	abocetaría
abocetariais	abocetaríais
abocetariamos	abocetaríamos
abocetarian	abocetarían
abocetarias	abocetarías
abocetasemos	abocetásemos
aboceteis	abocetéis
abochornabamos	abochornábamos
abochornais	abochornáis
abochornandose	abochornándose
abochornaramos	abochornáramos
abochornaria	abochornaría
abochornariais	abochornaríais
abochornariamos	abochornaríamos
abochornarian	abochornarían
abochornarias	abochornarías
abochornasemos	abochornásemos
abochorneis	abochornéis
abocinabamos	abocinábamos
abocinais	abocináis
abocinandose	abocinándose
abocinaramos	abocináramos
abocinaria	abocinaría
abocinariais	abocinaríais
abocinariamos	abocinaríamos
abocinarian	abocinarían
abocinarias	abocinarías
abocinasemos	abocinásemos
abocineis	abocinéis
abofabamos	abofábamos
abofais	abofáis
abofandose	abofándose
abofaramos	abofáramos
abofaria	abofaría
abofariais	abofaríais
abofariamos	abofaríamos
abofarian	abofarían
abofarias	abofarías
abofasemos	abofásemos
abofeis	aboféis
abofeteabamos	abofeteábamos
abofeteais	abofeteáis
abofeteandome	abofeteándome
abofeteandonos	abofeteándonos
abofeteandoos	abofeteándoos
abofeteandose	abofeteándose
abofeteandote	abofeteándote
abofetearamos	abofeteáramos
abofetearia	abofetearía
abofeteariais	abofetearíais
abofeteariamos	abofetearíamos
abofetearian	abofetearían
abofetearias	abofetearías
abofeteasemos	abofeteásemos
abofeteeis	abofeteéis
abogabamos	abogábamos
abogacia	abogacía
abogacias	abogacías
abogais	abogáis
abogandose	abogándose
abogaramos	abogáramos
abogaria	abogaría
abogariais	abogaríais
abogariamos	abogaríamos
abogarian	abogarían
abogarias	abogarías
abogasemos	abogásemos
abogueis	aboguéis
aboli	abolí
abolia	abolía
aboliais	abolíais
aboliamos	abolíamos
abolian	abolían
abolias	abolías
abolicion	abolición
abolieramos	aboliéramos
abolieremos	aboliéremos
aboliesemos	aboliésemos
abolio	abolió
abolira	abolirá
aboliran	abolirán
aboliras	abolirás
abolire	aboliré
abolireis	aboliréis
aboliria	aboliría
aboliriais	aboliríais
aboliriamos	aboliríamos
abolirian	abolirían
abolirias	abolirías
abolis	abolís
abollabamos	abollábamos
abollais	abolláis
abollandose	abollándose
abollaramos	abolláramos
abollaria	abollaría
abollariais	abollaríais
abollariamos	abollaríamos
abollarian	abollarían
abollarias	abollarías
abollasemos	abollásemos
abolleis	abolléis
abollonabamos	abollonábamos
abollonais	abollonáis
abollonandose	abollonándose
abollonaramos	abollonáramos
abollonaria	abollonaría
abollonariais	abollonaríais
abollonariamos	abollonaríamos
abollonarian	abollonarían
abollonarias	abollonarías
abollonasemos	abollonásemos
abolloneis	abollonéis
abolsabamos	abolsábamos
abolsais	abolsáis
abolsandose	abolsándose
abolsaramos	abolsáramos
abolsaria	abolsaría
abolsariais	abolsaríais
abolsariamos	abolsaríamos
abolsarian	abolsarían
abolsarias	abolsarías
abolsasemos	abolsásemos
abolseis	abolséis
abombabamos	abombábamos
abombais	abombáis
abombandose	abombándose
abombaramos	abombáramos
abombaria	abombaría
abombariais	abombaríais
abombariamos	abombaríamos
abombarian	abombarían
abombarias	abombarías
abombasemos	abombásemos
abombeis	abombéis
abominabamos	abominábamos
abominacion	abominación
abominais	abomináis
abominandose	abominándose
abominaramos	abomináramos
abominaria	abominaría
abominariais	abominaríais
abominariamos	abominaríamos
abominarian	abominarían
abominarias	abominarías
